kepid,kepoi_name,koi_disposition,koi_period,koi_depth
10797460,K00752.01,CONFIRMED,9.48803557,615.8
10797460,K00752.02,CONFIRMED,54.4183827,874.8
10854555,K00755.01,CONFIRMED,2.525591777,603.3
10872983,K00756.01,CONFIRMED,11.09432054,1517.5
10872983,K00756.02,CONFIRMED,4.13443512,686.0
10872983,K00756.03,CONFIRMED,2.56658897,226.5
10910878,K00757.01,CONFIRMED,16.06864674,4914.3
11446443,K00001.01,CONFIRMED,2.470613377,14230.9
10666592,K00002.01,CONFIRMED,2.204735417,6674.7
6922244,K00010.01,CONFIRMED,3.522498429,9145.7
10984090,K00112.02,CONFIRMED,3.709214104,131.1
10526549,K00746.01,CONFIRMED,9.27358173,1288.3
10583066,K00747.01,CONFIRMED,6.02930329,1912.7
10601284,K00749.01,CONFIRMED,5.349553819,831.0
10601284,K00749.02,CONFIRMED,3.94105221,363.3
10601284,K00749.03,CONFIRMED,8.10904807,217.4
10662202,K00750.01,CONFIRMED,21.67699193,857.2
10682541,K00751.01,CONFIRMED,4.99677968,934.7
11460018,K00769.01,CONFIRMED,4.280963604,750.8
11507101,K00773.01,CONFIRMED,38.3775486,724.2
10910878,K00757.02,CONFIRMED,41.19725502,2213.9
10910878,K00757.03,CONFIRMED,6.252962249,1036.9
10987985,K00758.01,CONFIRMED,16.01308419,1121.9
11018648,K00759.01,CONFIRMED,32.62876672,1804.8
11018648,K00759.02,CONFIRMED,91.7732862,652.0
11138155,K00760.01,CONFIRMED,4.959319244,9802.0
11153539,K00762.01,CONFIRMED,4.49876511,460.0
9579641,K00115.01,CONFIRMED,5.412203927,601.6
11304958,K00764.01,CONFIRMED,41.43958662,2793.1
11391957,K00765.01,CONFIRMED,8.35389523,1041.6
11403044,K00766.01,CONFIRMED,4.125543472,1487.3
11414511,K00767.01,CONFIRMED,2.816504904,16813.7
12110942,K00786.01,CONFIRMED,3.689920099,426.7
12366084,K00787.01,CONFIRMED,4.431238488,1010.9
12366084,K00787.02,CONFIRMED,11.37936986,1023.5
12404086,K00788.01,CONFIRMED,26.39432897,1510.9
8395660,K00116.01,CONFIRMED,13.57078281,511.7
9579641,K00115.02,CONFIRMED,7.12594387,192.4
11754553,K00775.01,CONFIRMED,16.38489988,1127.1
11754553,K00775.02,CONFIRMED,7.8774163,1306.1
11754553,K00775.03,CONFIRMED,36.4454001,1122.3
11812062,K00776.01,CONFIRMED,3.728732147,5226.5
11853255,K00778.01,CONFIRMED,2.243380573,821.7
11918099,K00780.01,CONFIRMED,2.337437946,971.2
11923270,K00781.01,CONFIRMED,11.59822233,2804.5
11960862,K00782.01,CONFIRMED,6.575315881,2793.3
12020329,K00783.01,CONFIRMED,7.275040844,3001.0
12066335,K00784.01,CONFIRMED,19.27153892,1219.8
12066335,K00784.02,CONFIRMED,10.06524317,1053.3
12070811,K00785.01,CONFIRMED,12.3935651,916.6
8395660,K00116.02,CONFIRMED,43.84439721,615.2
