kepid,name,koi_model_snr,koi_depth,koi_period,true_label,downloaded,preprocessed,score,pred,correct,outcome,pred_wild,pred_after_eb,tier
10666592,Kepler-2 b,5945.9,6674.7,2.204735417,1,True,True,0.97665083,1,True,TP,1,1,HIGH
11446443,Kepler-1 b,4304.3,14230.9,2.470613377,1,True,True,0.9770297,1,True,TP,1,1,HIGH
9941662,Kepler-13 b,4061.9,4590.6,1.763587535,1,True,True,0.079375155,0,False,FN,0,0,MEDIUM
11804465,Kepler-12 b,3535.6,16387.6,4.437962934,1,True,True,0.9824014,1,True,TP,1,1,HIGH
10874614,Kepler-6 b,3003.8,10558.7,3.234699282,1,True,True,0.99016225,1,True,TP,1,1,HIGH
9651668,Kepler-423 b,2833.1,18136.5,2.684328541,1,True,True,0.9809154,1,True,TP,1,1,HIGH
5780885,Kepler-7 b,2590.1,7458.4,4.885488596,1,True,True,0.9414739,1,True,TP,1,1,HIGH
8191672,Kepler-5 b,2486.5,7251.5,3.548465446,1,True,True,0.99228394,1,True,TP,1,1,HIGH
11359879,Kepler-15 b,2040.7,11144.7,4.942783419,1,True,True,0.9552655,1,True,TP,1,1,HIGH
5358624,Kepler-428 b,1996.7,22335.0,3.525632539,1,True,True,0.9828942,1,True,TP,1,1,HIGH
9631995,Kepler-422 b,1955.1,10344.6,7.891448838,1,True,True,0.69142115,1,True,TP,1,1,HIGH
9410930,Kepler-41 b,1853.8,10570.1,1.855557556,1,True,True,0.27105185,1,True,TP,0,0,MEDIUM
8359498,Kepler-77 b,1838.4,11382.2,3.578780566,1,True,True,0.9472414,1,True,TP,1,1,HIGH
6922244,Kepler-8 b,1741.5,9145.7,3.522498429,1,True,True,0.95813215,1,True,TP,1,1,HIGH
8544996,Kepler-723 b,1669.1,17859.2,4.082274889,1,True,True,0.7734273,1,True,TP,1,1,HIGH
6767840,Kepler-1262 b,19.9,301.6,8.679037,1,True,True,0.0024000327,0,False,FN,0,0,REJECTED
8653134,Kepler-1643 b,19.9,691.3,5.34264143,1,True,True,2.6972048e-06,0,False,FN,0,0,REJECTED
11701407,Kepler-1214 b,19.9,795.8,18.8262877,1,True,True,0.01827043,0,False,FN,0,0,REJECTED
6345732,Kepler-1370 b,19.9,185.3,20.2642023,1,True,True,0.0006555511,0,False,FN,0,0,REJECTED
8885643,Kepler-1346 b,19.9,155.9,3.40165617,1,True,True,0.0008065868,0,False,FN,0,0,REJECTED
6186964,Kepler-1366 b,19.8,525.1,2.164570593,1,True,True,0.014816224,0,False,FN,0,0,REJECTED
8651389,Kepler-1768 b,19.8,255.7,15.13590453,1,True,True,0.00016913669,0,False,FN,0,0,REJECTED
