kepid,orig_score,new_score,delta,error,koi_depth,koi_period,snr_tier,true_label
7877496,0.0048230960965156,0.0089137926697731,0.0040906965732575,,10184.5,1.72086129,high,1
12019440,0.0073139835149049,0.007313983514904976,7.546047120499111e-17,,16450.9,3.24325988,high,1
5357901,0.0213889442384243,0.0213889442384243,0.0,,14431.2,3.797018259,high,1
11414511,0.0228441208600997,0.022844120860099792,9.367506770274758e-17,,16813.7,2.816504904,high,1
5794240,0.0512081198394298,0.051208119839429855,5.551115123125783e-17,,36911.9,2.455240626,high,1
11502867,0.0101009476929903,0.010100947692990303,3.469446951953614e-18,,14319.4,3.217518511,high,1
7950644,0.0559919215738773,0.055991921573877335,3.469446951953614e-17,,9655.7,10.290994129,high,1
2581316,0.0912985205650329,0.09129852056503296,5.551115123125783e-17,,9148.7,217.83184293,high,1
9818381,0.0102698151022195,0.010269815102219582,8.153200337090993e-17,,7765.0,3.024092505,high,1
7529266,0.0862521827220916,0.08625218272209167,6.938893903907228e-17,,4510.2,8.600153929,high,1
10619192,0.0001386230287607,0.00013862302876077592,7.592125712829745e-17,,20823.9,1.485710994,high,1
9166862,0.0090152081102132,0.00901520811021328,7.979727989493313e-17,,16652.7,3.855603916,high,1
11391018,0.0624274909496307,0.06242749094963074,3.469446951953614e-17,,21124.7,30.360445359,high,1
6462863,0.0261735431849956,0.02617354318499565,5.204170427930421e-17,,5612.8,22.342964828,high,1
4570949,0.0013779778964817,0.0013779778964817524,5.2475385148298415e-17,,5817.3,1.544928892,high,1
11449844,0.0003732033073902,0.000373203307390213,1.3010426069826053e-17,,23530.0,38.47876629,high,1
7849854,0.0068910759873688,0.006891075987368822,2.168404344971009e-17,,14280.6,2.052349884,high,1
4742414,0.0244517419487237,0.024451741948723793,9.367506770274758e-17,,4253.2,15.458056682,high,1
3935914,0.002904770663008,0.002904770663008094,9.367506770274758e-17,,15044.5,1.594745374,high,1
5812701,0.0136278709396719,0.013627870939671993,9.367506770274758e-17,,9065.2,17.855221681,high,1
6522242,0.0540658608078956,0.05406586080789566,6.245004513516506e-17,,22838.9,41.408316686,high,1
6046540,0.0641477927565574,0.06414779275655746,6.938893903907228e-17,,8510.5,7.340714946,high,1
8711794,0.0238423589617013,0.023842358961701393,9.367506770274758e-17,,1059.3,8.981014925,mid,1
5796675,0.0020744770299643,0.002074477029964328,2.7755575615628914e-17,,3076.0,16.080657264,mid,1
11401755,0.0003924381453543,0.00039243814535439014,9.015141064216969e-17,,501.6,16.23191704,mid,1
5088536,0.0097151491791009,0.00971514917910099,9.020562075079397e-17,,639.2,27.50871575,mid,1
11904151,0.0192829072475433,0.019282907247543335,3.469446951953614e-17,,190.4,0.837491225,mid,1
5866724,9.547262015985324e-05,9.547262015985325e-05,1.3552527156068805e-20,,322.8,5.859935955,mid,1
5437945,0.0087474342435598,0.008747434243559837,3.8163916471489756e-17,,2579.0,440.7843755,mid,1
8478994,0.008834121748805,0.008834121748805046,4.683753385137379e-17,,610.4,39.79220077,mid,1
5735762,0.0954285413026809,0.09542854130268097,6.938893903907228e-17,,952.7,9.673958488,mid,1
7434875,0.0063493219204247,0.0063493219204247,0.0,,3036.1,9.439459486,mid,1
8022489,0.0176559630781412,0.017655963078141212,1.3877787807814457e-17,,2575.6,197.5111484,mid,1
11517719,3.226239719822388e-09,3.226239719822388e-09,0.0,,25070.0,2.495780169,mid,1
6786037,0.0323558412492275,0.032355841249227524,2.0816681711721685e-17,,4020.6,127.905412,mid,1
11518142,0.0049634976312518,0.004963497631251812,1.214306433183765e-17,,5022.9,240.7990472,mid,1
11250587,0.0484536290168762,0.04845362901687622,2.0816681711721685e-17,,463.2,7.256962446,mid,1
6196457,0.0005284395883791,0.0005284395883791149,1.485356976305141e-17,,425.9,13.74883059,mid,1
8026752,0.0392670035362243,0.039267003536224365,6.245004513516506e-17,,1321.9,4.286866229,mid,1
9579641,0.005864368751645,0.005864368751645088,8.847089727481716e-17,,601.6,5.412203927,mid,1
9820483,0.0436522364616394,0.043652236461639404,6.938893903907228e-18,,2608.1,3.584101048,mid,1
5164255,0.0071945032104849,0.0071945032104849815,8.153200337090993e-17,,15337.0,15.37562369,mid,1
8678594,0.0378585867583751,0.03785858675837517,6.938893903907228e-17,,5032.9,133.460999,mid,1
9450647,0.0002940600388683,,,search_failed: timeout,520.2,9.940666412,mid,1
6191521,0.0188215654343366,,,search_failed: timeout,3604.6,80.8723469,mid,1
9702072,0.0266647282987833,0.026664728298783302,3.469446951953614e-18,,847.4,4.182001885,mid,1
11017901,4.581268876791e-05,4.5812688767910004e-05,6.776263578034403e-21,,3387.4,7.794302043,mid,1
7135852,0.0650333911180496,0.06503339111804962,2.7755575615628914e-17,,2260.0,4.220965778,mid,1
7366258,0.0743515491485595,0.07435154914855957,6.938893903907228e-17,,3644.3,51.53997972,mid,1
9663113,0.0728227272629737,,,search_failed: timeout,1023.3,20.74028645,mid,1
8866102,0.0630853772163391,,,search_failed: timeout,326.9,17.83367834,mid,1
9157634,0.0382654331624507,,,search_failed: timeout,905.5,2.104721971,mid,1
7755636,0.0001941572409123,,,search_failed: timeout,377.5,16.00496657,low,1
8826168,0.0017240395536646,,,search_failed: timeout,402.8,11.55103848,low,1
11100383,0.0138635961338877,,,search_failed: timeout,959.0,12.92489803,low,1
9631762,0.0067305485717952,,,search_failed: timeout,660.9,10.35586478,low,1
